game,red_total_stones,blue_total_stones,red_score,blue_score,tied_rounds_won_by_red,winner,red_round_1,red_round_2,red_round_3,red_round_4,red_round_5,red_round_6,red_round_7,red_round_8,red_round_9,red_round_10,red_round_11,red_round_12,red_round_13,red_round_14,red_round_15,blue_round_1,blue_round_2,blue_round_3,blue_round_4,blue_round_5,blue_round_6,blue_round_7,blue_round_8,blue_round_9,blue_round_10,blue_round_11,blue_round_12,blue_round_13,blue_round_14,blue_round_15
83,100,107,7,8,0,blue,2,6,6,16,23,5,5,2,3,5,3,3,1,1,19,0,18,5,7,0,7,8,8,1,19,5,7,0,6,16
84,100,107,8,7,2,red,2,3,3,2,36,3,11,4,0,3,0,2,1,30,0,2,6,22,2,12,1,2,2,31,1,3,9,2,5,7
85,100,107,8,7,1,red,5,8,4,5,20,1,2,24,5,8,12,2,2,1,1,4,4,9,6,14,21,1,2,19,7,2,2,8,4,4
86,100,107,7,8,0,blue,4,1,0,20,0,7,7,1,10,10,5,4,13,14,4,6,9,9,10,2,6,3,2,4,4,28,12,4,3,5
87,100,107,9,6,2,red,10,0,13,11,9,4,2,5,2,7,0,3,22,5,7,10,3,10,14,0,2,2,0,14,2,12,8,7,21,2
88,100,107,10,5,1,red,5,16,14,9,1,9,1,1,1,20,1,10,3,2,7,3,4,2,11,26,5,14,16,0,4,1,9,6,1,5
89,100,107,9,6,4,red,4,4,8,2,12,16,0,3,7,21,5,4,13,1,0,4,5,8,2,28,0,9,1,10,5,1,4,9,11,10
90,100,107,9,6,2,red,3,11,9,8,4,5,6,3,1,13,3,5,12,11,6,15,0,2,8,2,6,0,3,21,5,16,10,2,9,8
91,100,107,8,7,1,red,8,1,2,11,18,4,12,1,12,1,15,2,3,1,9,15,5,2,3,3,9,1,8,19,16,8,1,1,10,6
92,100,107,5,10,0,blue,3,5,3,5,1,13,16,1,12,4,7,0,3,5,22,9,7,23,1,10,2,0,9,6,6,18,1,6,7,2
93,100,107,9,6,2,red,9,7,7,21,13,2,7,4,5,6,1,5,11,1,1,7,8,1,3,1,1,7,10,3,14,9,2,24,16,1
94,100,107,7,8,1,blue,10,6,9,7,3,1,2,6,22,2,2,8,2,1,19,11,8,2,0,22,21,10,1,2,2,3,2,8,15,0
95,100,107,8,7,3,red,3,2,0,5,16,7,20,19,1,0,9,1,15,0,2,3,28,6,1,23,2,6,10,1,1,1,5,16,0,4
96,100,107,7,8,0,blue,7,2,11,6,12,5,8,2,3,2,1,2,16,11,12,13,3,2,22,0,0,4,3,4,14,6,20,2,4,10
97,100,107,7,8,1,blue,6,6,3,3,12,1,0,3,3,12,4,4,2,19,22,20,0,4,15,1,1,18,4,0,2,8,19,5,7,3
98,100,107,5,10,1,blue,2,4,0,5,16,3,6,9,5,8,5,0,1,10,26,1,12,4,16,3,10,9,5,8,8,7,3,7,14,0
99,100,107,6,9,1,blue,5,1,3,15,12,10,0,3,2,0,19,1,1,25,3,12,3,1,19,12,3,7,7,6,8,1,8,10,8,2
100,100,107,8,7,2,red,4,1,0,12,1,7,18,3,5,13,1,6,6,19,4,17,2,1,20,1,1,16,2,5,1,11,1,13,11,5
